SURVEY: PS1MD
SNID:  PSc000098
IAUC:    UNKNOWN
RA:         184.9064  deg
DECL:        46.0322  deg
MWEBV:  0.0127  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.0570  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 401
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 56455.3 i NULL  21.430 14.439 -8.328 0.732
OBS: 56458.3 i NULL  -6.658 14.678 nan -2.394
OBS: 56462.3 i NULL  10.444 14.169 -7.547 1.473
OBS: 56479.3 i NULL  16.914 15.441 -8.071 0.991
OBS: 54947.5 z NULL  -158.755 43.863 nan -0.300
OBS: 54948.5 z NULL  -42.020 69.339 nan -1.792
OBS: 54951.5 z NULL  -35.583 27.260 nan -0.832
OBS: 54952.5 z NULL  7.927 26.200 -7.248 3.589
OBS: 54986.4 z NULL  -10.282 37.336 nan -3.943
OBS: 54995.3 z NULL  -40.722 38.762 nan -1.033
OBS: 55001.3 z NULL  -12.893 72.006 nan -6.064
OBS: 55004.3 z NULL  -42.276 69.399 nan -1.782
OBS: 55193.7 z NULL  -1.655 26.122 nan -17.137
OBS: 55199.6 z NULL  240.060 22.386 -10.951 0.101
OBS: 55202.6 z NULL  600.596 28.187 -11.946 0.051
OBS: 55208.7 z NULL  821.901 28.276 -12.287 0.037
OBS: 55214.6 z NULL  771.879 36.637 -12.219 0.052
OBS: 55220.6 z NULL  760.296 42.352 -12.202 0.060
OBS: 55223.6 z NULL  722.661 29.895 -12.147 0.045
OBS: 55235.6 z NULL  706.997 31.335 -12.124 0.048
OBS: 55238.6 z NULL  599.810 29.882 -11.945 0.054
OBS: 55241.5 z NULL  570.745 27.112 -11.891 0.052
OBS: 55247.5 z NULL  621.615 25.296 -11.984 0.044
OBS: 55250.6 z NULL  646.060 42.334 -12.026 0.071
OBS: 55268.6 z NULL  581.907 34.229 -11.912 0.064
OBS: 55274.6 z NULL  397.804 61.069 -11.499 0.167
OBS: 55280.4 z NULL  506.934 24.573 -11.762 0.053
OBS: 55298.4 z NULL  373.007 28.868 -11.429 0.084
OBS: 55304.3 z NULL  278.790 28.565 -11.113 0.111
OBS: 55322.4 z NULL  78.603 22.223 -9.739 0.307
OBS: 55331.3 z NULL  77.719 26.359 -9.726 0.368
OBS: 55340.3 z NULL  57.426 30.402 -9.398 0.575
OBS: 55352.3 z NULL  53.130 22.441 -9.313 0.459
OBS: 55361.3 z NULL  42.489 26.648 -9.071 0.681
OBS: 55367.3 z NULL  56.417 24.765 -9.379 0.477
OBS: 55613.5 z NULL  18.914 22.351 -8.192 1.283
OBS: 55631.4 z NULL  18.532 21.803 -8.170 1.277
OBS: 55634.6 z NULL  3.819 27.896 -6.455 7.930
OBS: 55646.5 z NULL  -27.457 21.809 nan -0.862
OBS: 55649.6 z NULL  -50.694 34.698 nan -0.743
OBS: 55664.4 z NULL  17.483 23.642 -8.107 1.468
OBS: 55676.4 z NULL  4.811 26.406 -6.705 5.960
OBS: 55706.3 z NULL  1.179 24.979 -5.178 23.011
OBS: 55718.3 z NULL  5.560 21.348 -6.863 4.169
OBS: 55724.3 z NULL  9.245 31.378 -7.415 3.685
OBS: 55736.3 z NULL  4.387 21.881 -6.605 5.415
OBS: 55940.6 z NULL  7.161 27.418 -7.137 4.157
OBS: 55946.7 z NULL  -14.592 27.101 nan -2.017
OBS: 55949.6 z NULL  -22.148 22.995 nan -1.127
OBS: 55951.6 z NULL  4.149 20.290 -6.545 5.310
OBS: 55954.6 z NULL  -10.600 20.377 nan -2.087
OBS: 55959.6 z NULL  55.125 26.643 -9.353 0.525
OBS: 55961.7 z NULL  -21.302 23.943 nan -1.220
OBS: 55967.5 z NULL  -11.609 26.125 nan -2.443
OBS: 55969.6 z NULL  30.196 25.225 -8.700 0.907
OBS: 55972.6 z NULL  -38.153 27.131 nan -0.772
OBS: 55975.6 z NULL  73.404 49.049 -9.664 0.725
OBS: 55983.6 z NULL  -85.310 33.713 nan -0.429
OBS: 55988.6 z NULL  -5.175 23.693 nan -4.971
OBS: 55997.5 z NULL  -49.241 24.343 nan -0.537
OBS: 56002.6 z NULL  -14.403 23.113 nan -1.742
OBS: 56005.6 z NULL  16.327 22.736 -8.032 1.512
OBS: 56013.4 z NULL  -16.132 26.939 nan -1.813
OBS: 56016.4 z NULL  -3.035 25.071 nan -8.968
OBS: 56028.5 z NULL  5.308 23.378 -6.812 4.782
OBS: 56037.3 z NULL  -19.736 30.023 nan -1.652
OBS: 56039.4 z NULL  19.519 27.382 -8.226 1.523
OBS: 56045.4 z NULL  13.043 27.941 -7.788 2.326
OBS: 56049.4 z NULL  -0.219 21.862 nan -108.387
OBS: 56056.4 z NULL  7.898 34.236 -7.244 4.707
OBS: 56058.3 z NULL  5.518 33.383 -6.855 6.568
OBS: 56061.3 z NULL  0.625 20.972 -4.489 36.455
OBS: 56064.3 z NULL  -29.060 22.258 nan -0.832
OBS: 56072.3 z NULL  -25.020 28.563 nan -1.239
OBS: 56324.6 z NULL  19.689 26.515 -8.236 1.462
OBS: 56338.6 z NULL  0.765 20.634 -4.709 29.282
OBS: 56348.6 z NULL  -66.519 36.377 nan -0.594
OBS: 56351.5 z NULL  32.003 30.465 -8.763 1.034
OBS: 56353.5 z NULL  -38.818 28.593 nan -0.800
OBS: 56359.6 z NULL  3.506 21.772 -6.362 6.742
OBS: 56364.5 z NULL  50.164 28.884 -9.251 0.625
OBS: 56370.4 z NULL  14.035 21.567 -7.868 1.668
OBS: 56383.5 z NULL  -35.871 22.928 nan -0.694
OBS: 56386.3 z NULL  39.612 22.043 -8.995 0.604
OBS: 56389.5 z NULL  19.463 29.029 -8.223 1.619
OBS: 56392.3 z NULL  20.248 23.356 -8.266 1.252
OBS: 56394.4 z NULL  14.434 27.269 -7.898 2.051
OBS: 56397.4 z NULL  27.593 25.196 -8.602 0.991
OBS: 56400.4 z NULL  8.861 31.097 -7.369 3.810
OBS: 56402.3 z NULL  -10.127 26.550 nan -2.846
OBS: 56404.3 z NULL  -7.039 24.381 nan -3.761
OBS: 56415.4 z NULL  0.630 29.668 -4.498 51.137
OBS: 56421.4 z NULL  6.414 22.670 -7.018 3.837
OBS: 56423.4 z NULL  1.439 23.465 -5.395 17.703
OBS: 56429.3 z NULL  -2.918 24.451 nan -9.099
OBS: 56451.3 z NULL  -6.840 23.450 nan -3.722
OBS: 56453.3 z NULL  -1.486 30.258 nan -22.111
OBS: 56456.3 z NULL  46.901 27.163 -9.178 0.629
OBS: 56459.3 z NULL  19.229 26.180 -8.210 1.478
OBS: 56681.6 z NULL  -9.721 25.122 nan -2.806
OBS: 56754.4 z NULL  21.699 26.886 -8.341 1.345
END:
