ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.552015,0.6826706,1.034189,1.278299,9.512537,4.699189,0.7499657,0.0
1.73855,1.91609,2.560509,3.064651,3.044842,1.386436,0.9485316,1.0
2.127962,0.8812008,1.255308,1.569559,4.97099,2.212055,0.6012937,0.9819772
1.574064,0.8131237,1.213736,1.521282,19.13293,8.231104,0.4499927,0.4647041
5.467789,2.173834,3.192503,3.908369,68.26881,2.180563,0.9078513,1.0
1.740799,1.019634,1.48686,1.799055,5.674158,2.407485,0.6970915,1.0
1.133818,0.6531029,0.9800625,1.208544,4.854634,2.417049,0.9001222,0.0416967
1.987982,1.862652,2.686975,3.079304,2.621456,1.161441,0.7169368,1.0
1.647102,1.696133,2.318544,2.782387,4.522524,1.531793,0.9927122,1.0
1.288181,0.6232967,0.9841976,1.144213,7.038523,3.105081,0.1631857,0.0
3.605389,1.74404,2.354504,2.737415,8.147226,1.023063,0.9065979,1.0
1.730419,0.8698006,1.256016,1.569517,4.688128,1.961388,0.9905503,0.9438292
2.2999,1.541431,2.100828,2.45454,4.668763,2.061947,0.7504196,1.0
1.292336,0.3928928,0.6346912,0.8026924,7.980908,2.510897,0.668026,0.105295
1.627769,0.6028194,0.9921818,1.223503,4.442239,2.001692,0.3406375,0.1481801
0.4313107,1.738792,2.600218,2.996054,3.973463,1.582523,0.4832693,1.0
2.057171,1.548452,2.112707,2.500126,5.274737,2.011929,0.655127,1.0
3.012234,1.76013,2.368937,2.774796,2.999526,1.63526,0.5277678,0.7684683
1.282755,0.770792,1.146652,1.498934,5.127151,2.247733,0.559232,1.0
1.934017,0.9520779,1.336643,1.739924,3.497278,1.625445,0.7032123,0.9893049
2.076901,0.9013357,1.312008,1.738419,10.63777,3.934806,0.9232291,1.0
1.914482,0.8423233,1.220869,1.59912,2.697851,1.222706,0.7192311,1.0
1.887058,0.8638515,1.242805,1.63787,3.976119,1.7825,0.9183214,1.0
1.32305,0.7940693,0.8878059,1.209249,1.653654,0.8124775,0.8642442,1.0
1.217394,0.9662018,1.400723,1.689838,3.667774,1.825104,0.9327427,0.4593408
4.709255,1.751522,2.517408,2.919125,3.686908,1.648204,0.883916,1.0
2.704094,1.51545,2.107147,2.458721,5.951568,2.590338,0.7570914,1.0
2.040266,1.001034,1.436922,1.795527,2.407239,1.098921,0.334005,1.0
1.805845,0.7929344,1.14106,1.439783,2.721896,1.129763,0.9564901,1.0
